Opponent Decklist,Result
Hexdrinker | Llanowar Reborn | Pick Your Poison,-1.0
High Market | Mox Opal | Sinister Concierge,1.0
Hive Mind | Pact of the Titan | Saprazzan Cove,1.0
"Hungry Lynx | Malamet Brawler | Mirri, Cat Warrior",1.0
Inkmoth Nexus | Karakas | Porphyry Nodes,-1.0
Inkmoth Nexus | Liliana's Triumph | Swamp,-1.0
Inkmoth Nexus | Mox Pearl | Skrelv's Hive,1.0
"Island | Mu Yanling, Sky Dancer | Saprazzan Skerry",1.0
Island | Sea's Claim | Sleep-Cursed Faerie,1.0
Kaldra Compleat | Remote Farm | Stoneforge Mystic,1.0
Kaya's Ghostform | Sleep-Cursed Faerie | Underground Sea,1.0
Keldon Halberdier | Keldon Halberdier | Mountain,1.0
"Kozilek, Butcher of Truth | Saprazzan Cove | Show and Tell",0.0
Legolas's Quick Reflexes | Rushwood Grove | Tempting Wurm,1.0
Leyline of Sanctity | Memnite | Solitude,1.0
Loxodon Smiter | Selesnya Sanctuary | Treetop Village,1.0
Misdirection | Misthollow Griffin | Saprazzan Cove,1.0
Mishra's Factory | Mox Emerald | The Foretold Soldier,-1.0
Mox Jet | Mox Ruby | Oni-Cult Anvil,1.0
Nether Spirit | Peat Bog | Smallpox,-1.0
Nullhide Ferox | Obstinate Baloth | Rushwood Grove,1.0
Pardic Dragon | Sandstone Needle | Wild Magic Surge,0.0
"Path to Exile | Remote Farm | Thalia, Guardian of Thraben",1.0
Remote Farm | Skrelv's Hive | Skrelv's Hive,1.0
Ancient Spring | Dreadhorde Invasion | The Ozolith,1.0
Blinkmoth Nexus | City of Traitors | Inkmoth Nexus,1.0
Botanical Sanctum | Galerider Sliver | Virulent Sliver,1.0
"Bottomless Vault | Emrakul, the Aeons Torn | Smallpox",-1.0
Bottomless Vault | Forsaken Miner | Jinxed Idol,1.0
Cenn's Tactician | Sea's Claim | Undiscovered Paradise,1.0
City of Traitors | Phyrexian Revoker | Steel Overseer,1.0
Dark Ritual | Graveyard Trespasser | Urborg,1.0
Daze | Island | Mausoleum Wanderer,0.0
Daze | Island | Soldevi Sentry,0.0
Detention Vortex | Prairie Dog | Remote Farm,0.0
Dunes of the Dead | Mox Ruby | Raze,1.0
Golgari Rot Farm | Peat Bog | Piper of the Swarm,1.0
Inkmoth Nexus | Luminarch Aspirant | Mox Pearl,0.0
"Lavinia, Azorius Renegade | Mox Pearl | Tundra",1.0
Reinforced Ronin | Storm World | Undiscovered Paradise,1.0
